iter	Passed	Remaining
399	42821	171285
400	43034	171602
401	43205	171749
402	43346	171772
403	43475	171750
404	43573	171603
405	43743	171741
406	43917	171894
407	44078	171991
408	44201	171941
409	44333	171926
410	44464	171906
411	44601	171912
412	44739	171915
413	44895	171989
414	45049	172058
415	45196	172094
416	45341	172124
417	45479	172126
418	45533	171811
419	45671	171810
420	45707	171428
421	45859	171483
422	45994	171473
423	46123	171441
424	46226	171311
425	46263	170937
426	46385	170875
427	46505	170811
428	46646	170817
429	46697	170498
430	46804	170387
431	46936	170363
432	47050	170272
433	47152	170140
434	47193	169786
435	47299	169669
436	47416	169592
437	47523	169477
438	47624	169344
439	47669	169010
440	47782	168918
441	47830	168596
442	47946	168517
443	47980	168146
444	48109	168112
445	48229	168045
446	48367	168040
447	48470	167917
448	48608	167909
449	48686	167699
450	48797	167599
451	48848	167295
452	48928	167093
453	48989	166824
454	49132	166834
455	49257	166782
456	49360	166660
457	49473	166568
458	49586	166475
459	49689	166352
460	49743	166063
461	49832	165892
462	49919	165716
463	49998	165511
464	50105	165401
465	50187	165208
466	50281	165056
467	50374	164900
468	50486	164807
469	50566	164609
470	50651	164430
471	50735	164246
472	50808	164026
473	50895	163854
474	50926	163501
475	50955	163142
476	51021	162904
477	51088	162671
478	51134	162371
479	51207	162158
480	51252	161856
481	51343	161700
482	51431	161535
483	51512	161348
484	51592	161161
485	51677	160986
486	51768	160831
487	51841	160623
488	51939	160492
489	51982	160192
490	52063	160009
491	52138	159806
492	52223	159636
493	52254	159301
494	52307	159036
495	52386	158849
496	52503	158779
497	52608	158669
498	52693	158502
499	52778	158334
500	52860	158160
501	52939	157975
502	53029	157823
503	53102	157620
504	53188	157458
505	53262	157262
506	53370	157164
507	53462	157019
508	53564	156904
509	53662	156778
510	53702	156482
511	53740	156182
512	53798	155942
513	53883	155781
514	53932	155514
515	53977	155236
516	54008	154921
517	54122	154844
518	54209	154690
519	54302	154553
520	54409	154455
521	54488	154281
522	54536	154014
523	54632	153887
524	54725	153751
525	54812	153598
526	54870	153367
527	54945	153180
528	55022	153002
529	55131	152912
530	55211	152741
531	55296	152586
532	55387	152445
533	55464	152266
534	55539	152084
535	55631	151950
536	55714	151789
537	55806	151651
538	55901	151525
539	55991	151385
540	56070	151212
541	56157	151065
542	56240	150908
543	56286	150649
544	56394	150556
545	56491	150437
546	56596	150338
547	56701	150237
548	56759	150015
549	56854	149889
550	56953	149774
551	57021	149577
552	57120	149464
553	57155	149182
554	57242	149036
555	57340	148919
556	57393	148686
557	57508	148615
558	57624	148544
559	57732	148454
560	57832	148342
561	57914	148186
562	58031	148119
563	58159	148079
564	58242	147926
565	58330	147784
566	58405	147611
567	58508	147508
568	58584	147337
569	58688	147237
570	58771	147082
571	58842	146899
572	58941	146787
573	59040	146675
574	59132	146546
575	59167	146274
576	59266	146162
577	59346	146005
578	59438	145875
579	59511	145700
580	59584	145526
581	59672	145387
582	59774	145284
583	59873	145173
584	59907	144905
585	60037	144867
586	60151	144792
587	60288	144774
588	60392	144674
589	60479	144535
590	60528	144304
591	60635	144214
592	60722	144074
593	60813	143946
594	60907	143823
595	61009	143719
596	61096	143582
597	61178	143431
598	61222	143193
599	61328	143100
600	61427	142990
601	61480	142774
602	61557	142612
603	61648	142486
604	61701	142269
605	61747	142040
606	61805	141837
607	61877	141667
608	61947	141492
609	62050	141393
610	62131	141244
611	62213	141098
612	62247	140843
613	62357	140762
614	62459	140661
615	62563	140564
616	62662	140456
617	62760	140348
618	62859	140241
619	62941	140094
620	63038	139983
621	63071	139731
622	63146	139570
623	63224	139417
624	63301	139264
625	63405	139168
626	63490	139032
627	63573	138888
628	63667	138772
629	63767	138668
630	63877	138587
631	63961	138448
632	64037	138293
633	64118	138147
